source,amount
invented,255
invented,5261
invented,7516
invented,9287
invented,4113
invented,705
invented,8638
invented,6599
invented,3074
invented,7960
invented,2122
invented,4971
invented,7514
invented,985
invented,5198
invented,811
invented,513
invented,4767
invented,9367
invented,2997
invented,1450
invented,4057
invented,4632
invented,7229
invented,5450
invented,4061
invented,6175
invented,6186
invented,4487
invented,9787
invented,5461
invented,418
invented,5418
invented,7321
invented,6516
invented,7682
invented,2075
invented,7383
invented,2567
invented,3822
invented,6884
invented,7285
invented,3351
invented,9834
invented,7273
invented,910
invented,3361
invented,5072
invented,8108
invented,1283
invented,2141
invented,2061
invented,8922
invented,6709
invented,8929
invented,3148
invented,9583
invented,5262
invented,9339
invented,7339
invented,3351
invented,7736
invented,9765
invented,4763
invented,589
invented,414
invented,3027
invented,1309
invented,5229
invented,1982
invented,4219
invented,8525
invented,6101
invented,4540
invented,6865
invented,6974
invented,1234
invented,4003
invented,4131
invented,5965
invented,6816
invented,7489
invented,8002
invented,1072
invented,908
invented,9062
invented,1972
invented,9719
invented,2853
invented,3729
invented,7961
invented,4635
invented,9698
invented,5457
invented,1840
invented,180
invented,7069
invented,9979
invented,4022
invented,4166
invented,3234
invented,916
invented,5299
invented,9342
invented,889
invented,738
invented,498
invented,208
invented,9556
invented,7972
invented,8192
invented,9062
invented,1812
invented,722
invented,614
invented,4983
invented,3285
invented,4614
invented,9868
invented,5942
invented,9524
invented,6154
invented,5497
invented,1646
invented,707
invented,3276
invented,7735
invented,6352
invented,2700
invented,3431
invented,8781
invented,9877
invented,5384
invented,6905
invented,9289
invented,6485
invented,6998
invented,7787
invented,8142
invented,6914
invented,7638
invented,5340
invented,9515
invented,227
invented,2110
invented,6226
invented,2147
invented,533
invented,5809
invented,9442
invented,946
invented,6557
invented,9463
invented,7283
invented,9139
invented,2835
invented,7011
invented,2667
invented,9142
invented,6421
invented,8536
invented,4426
invented,5843
invented,9420
invented,2929
invented,4133
invented,8543
invented,8534
invented,2304
invented,8174
invented,4304
invented,5321
invented,1043
invented,6657
invented,9634
invented,4078
invented,8159
invented,7313
invented,6318
invented,5246
invented,7281
invented,9721
invented,3461
invented,5414
invented,436
invented,5356
invented,7677
invented,363
invented,2095
invented,9053
invented,2647
invented,4382
invented,7908
invented,4881
invented,1487
invented,6528
invented,8315
invented,1082
invented,2618
invented,275
invented,5147
invented,7895
invented,6243
invented,5721
invented,1060
invented,9772
invented,1569
invented,6028
invented,9989
invented,5624
invented,3193
invented,4443
invented,8239
invented,2323
invented,3365
invented,6889
invented,1136
invented,9161
invented,6447
invented,2186
invented,1861
invented,8081
invented,7963
invented,3544
invented,6615
invented,1299
invented,2562
invented,3706
invented,3767
invented,5481
invented,3250
invented,1709
invented,1587
invented,3494
invented,5552
invented,7925
invented,4639
invented,8378
invented,1993
invented,4985
invented,6848
invented,7733
invented,6075
invented,8319
invented,3192
invented,1511
invented,4584
invented,9448
invented,5705
invented,8608
invented,6014
invented,7242
invented,2570
invented,8849
invented,1830
invented,9367
invented,1566
invented,907
invented,5603
invented,8325
invented,8786
invented,3664
invented,265
invented,3925
invented,6096
invented,1007
invented,4277
invented,335
invented,9874
invented,5172
invented,3570
invented,7358
invented,8213
invented,6031
invented,325
invented,9729
invented,2703
invented,1098
invented,5907
invented,1645
invented,9418
invented,5566
invented,1385
invented,8766
invented,787
invented,8712
invented,5826
invented,1721
invented,8438
invented,7137
invented,3654
invented,5705
invented,7663
invented,2685
invented,4040
invented,6449
invented,2445
invented,7864
invented,3721
invented,994
invented,6389
invented,5886
invented,6089
invented,2920
invented,1029
invented,7131
invented,3066
invented,8070
invented,4690
invented,1105
invented,4223
invented,4788
invented,2227
invented,7938
invented,4113
invented,4129
invented,2800
invented,8179
invented,6244
invented,7383
invented,4753
invented,4175
invented,6854
invented,5923
invented,9448
invented,7979
invented,1994
invented,279
invented,4378
invented,5673
invented,2147
invented,8238
invented,9053
invented,9051
invented,8846
invented,5095
invented,9170
invented,7964
invented,5144
invented,4513
invented,279
invented,6044
invented,6537
invented,5097
invented,8036
invented,3164
invented,7754
invented,2254
invented,5678
invented,511
invented,5786
invented,6464
invented,2895
invented,5796
invented,5685
invented,2906
invented,3397
invented,1223
invented,7008
invented,4650
invented,6607
invented,6578
invented,7387
invented,6056
invented,7996
invented,5559
invented,4071
invented,7148
invented,8360
invented,4970
invented,2038
invented,641
invented,6003
invented,4223
invented,648
invented,4744
invented,8727
invented,4173
invented,3555
invented,5040
invented,7381
invented,719
invented,6136
invented,2788
invented,1715
invented,9183
invented,8881
invented,4978
invented,3562
invented,4039
invented,7106
invented,7409
invented,6038
invented,1107
invented,729
invented,653
invented,8542
invented,1181
invented,4947
invented,4291
invented,2489
invented,8820
invented,6675
invented,9704
invented,2271
invented,4259
invented,2728
invented,9084
invented,3322
invented,5108
invented,7892
invented,6448
invented,5873
invented,8480
invented,9646
invented,8621
invented,3172
invented,6391
invented,6645
invented,9696
invented,1344
invented,552
invented,6022
invented,5653
invented,1597
invented,5813
invented,3886
invented,6283
invented,2183
invented,325
invented,2243
invented,2646
invented,6824
invented,1105
invented,576
invented,1113
invented,3419
invented,2957
invented,5366
invented,7211
invented,5056
invented,7753
invented,8007
invented,9679
invented,9112
invented,5144
invented,2593
invented,1896
invented,2959
invented,6954
invented,6020
invented,3072
invented,575
invented,6899
invented,1164
invented,8074
invented,6876
invented,436
invented,6874
invented,2110
invented,9539
invented,8673
invented,4670
invented,7189
invented,647
invented,4246
invented,7693
invented,5771
invented,4546
invented,6169
invented,3208
invented,3436
invented,129
invented,4206
invented,2245
invented,566
invented,9071
invented,6461
invented,9603
invented,8695
invented,9978
invented,906
invented,1012
invented,6583
invented,3510
invented,8137
invented,7999
invented,5673
invented,5160
invented,9745
invented,5958
invented,2911
invented,4261
invented,6032
invented,8171
invented,432
invented,2168
invented,5137
invented,4201
invented,5916
invented,4548
invented,931
invented,1499
invented,6790
invented,3357
invented,6939
invented,4392
invented,8330
invented,1722
invented,6016
invented,7928
invented,4533
