source,amount
fibonacci,1
fibonacci,1
fibonacci,2
fibonacci,3
fibonacci,5
fibonacci,8
fibonacci,13
fibonacci,21
fibonacci,34
fibonacci,55
fibonacci,89
fibonacci,144
fibonacci,233
fibonacci,377
fibonacci,610
fibonacci,987
fibonacci,1597
fibonacci,2584
fibonacci,4181
fibonacci,6765
fibonacci,10946
fibonacci,17711
fibonacci,28657
fibonacci,46368
fibonacci,75025
fibonacci,121393
fibonacci,196418
fibonacci,317811
fibonacci,514229
fibonacci,832040
fibonacci,1346269
fibonacci,2178309
fibonacci,3524578
fibonacci,5702887
fibonacci,9227465
fibonacci,14930352
fibonacci,24157817
fibonacci,39088169
fibonacci,63245986
fibonacci,102334155
fibonacci,165580141
fibonacci,267914296
fibonacci,433494437
fibonacci,701408733
fibonacci,1134903170
fibonacci,1836311903
fibonacci,2971215073
fibonacci,4807526976
fibonacci,7778742049
fibonacci,12586269025
fibonacci,20365011074
fibonacci,32951280099
fibonacci,53316291173
fibonacci,86267571272
fibonacci,139583862445
fibonacci,225851433717
fibonacci,365435296162
fibonacci,591286729879
fibonacci,956722026041
fibonacci,1548008755920
fibonacci,2504730781961
fibonacci,4052739537881
fibonacci,6557470319842
fibonacci,10610209857723
fibonacci,17167680177565
fibonacci,27777890035288
fibonacci,44945570212853
fibonacci,72723460248141
fibonacci,117669030460994
fibonacci,190392490709135
fibonacci,308061521170129
fibonacci,498454011879264
fibonacci,806515533049393
fibonacci,1304969544928657
fibonacci,2111485077978050
fibonacci,3416454622906707
fibonacci,5527939700884757
fibonacci,8944394323791464
fibonacci,14472334024676221
fibonacci,23416728348467685
fibonacci,37889062373143906
fibonacci,61305790721611591
fibonacci,99194853094755497
fibonacci,160500643816367088
fibonacci,259695496911122585
fibonacci,420196140727489673
fibonacci,679891637638612258
fibonacci,1100087778366101931
fibonacci,1779979416004714189
fibonacci,2880067194370816120
fibonacci,4660046610375530309
fibonacci,7540113804746346429
fibonacci,12200160415121876738
fibonacci,19740274219868223167
fibonacci,31940434634990099905
fibonacci,51680708854858323072
fibonacci,83621143489848422977
fibonacci,135301852344706746049
fibonacci,218922995834555169026
fibonacci,354224848179261915075
fibonacci,573147844013817084101
fibonacci,927372692193078999176
fibonacci,1500520536206896083277
fibonacci,2427893228399975082453
fibonacci,3928413764606871165730
fibonacci,6356306993006846248183
fibonacci,10284720757613717413913
fibonacci,16641027750620563662096
fibonacci,26925748508234281076009
fibonacci,43566776258854844738105
fibonacci,70492524767089125814114
fibonacci,114059301025943970552219
fibonacci,184551825793033096366333
fibonacci,298611126818977066918552
fibonacci,483162952612010163284885
fibonacci,781774079430987230203437
fibonacci,1264937032042997393488322
fibonacci,2046711111473984623691759
fibonacci,3311648143516982017180081
fibonacci,5358359254990966640871840
fibonacci,8670007398507948658051921
fibonacci,14028366653498915298923761
fibonacci,22698374052006863956975682
fibonacci,36726740705505779255899443
fibonacci,59425114757512643212875125
fibonacci,96151855463018422468774568
fibonacci,155576970220531065681649693
fibonacci,251728825683549488150424261
fibonacci,407305795904080553832073954
fibonacci,659034621587630041982498215
fibonacci,1066340417491710595814572169
fibonacci,1725375039079340637797070384
fibonacci,2791715456571051233611642553
fibonacci,4517090495650391871408712937
fibonacci,7308805952221443105020355490
fibonacci,11825896447871834976429068427
fibonacci,19134702400093278081449423917
fibonacci,30960598847965113057878492344
fibonacci,50095301248058391139327916261
fibonacci,81055900096023504197206408605
fibonacci,131151201344081895336534324866
fibonacci,212207101440105399533740733471
fibonacci,343358302784187294870275058337
fibonacci,555565404224292694404015791808
fibonacci,898923707008479989274290850145
fibonacci,1454489111232772683678306641953
fibonacci,2353412818241252672952597492098
fibonacci,3807901929474025356630904134051
fibonacci,6161314747715278029583501626149
fibonacci,9969216677189303386214405760200
fibonacci,16130531424904581415797907386349
fibonacci,26099748102093884802012313146549
fibonacci,42230279526998466217810220532898
fibonacci,68330027629092351019822533679447
fibonacci,110560307156090817237632754212345
fibonacci,178890334785183168257455287891792
fibonacci,289450641941273985495088042104137
fibonacci,468340976726457153752543329995929
fibonacci,757791618667731139247631372100066
fibonacci,1226132595394188293000174702095995
fibonacci,1983924214061919432247806074196061
fibonacci,3210056809456107725247980776292056
fibonacci,5193981023518027157495786850488117
fibonacci,8404037832974134882743767626780173
fibonacci,13598018856492162040239554477268290
fibonacci,22002056689466296922983322104048463
fibonacci,35600075545958458963222876581316753
fibonacci,57602132235424755886206198685365216
fibonacci,93202207781383214849429075266681969
fibonacci,150804340016807970735635273952047185
fibonacci,244006547798191185585064349218729154
fibonacci,394810887814999156320699623170776339
fibonacci,638817435613190341905763972389505493
fibonacci,1033628323428189498226463595560281832
fibonacci,1672445759041379840132227567949787325
fibonacci,2706074082469569338358691163510069157
fibonacci,4378519841510949178490918731459856482
fibonacci,7084593923980518516849609894969925639
fibonacci,11463113765491467695340528626429782121
fibonacci,18547707689471986212190138521399707760
fibonacci,30010821454963453907530667147829489881
fibonacci,48558529144435440119720805669229197641
fibonacci,78569350599398894027251472817058687522
fibonacci,127127879743834334146972278486287885163
fibonacci,205697230343233228174223751303346572685
fibonacci,332825110087067562321196029789634457848
fibonacci,538522340430300790495419781092981030533
fibonacci,871347450517368352816615810882615488381
fibonacci,1409869790947669143312035591975596518914
fibonacci,2281217241465037496128651402858212007295
